# RESUMO DAS ESTATÍSTICAS GERAIS DA ANÁLISE DIPLOMÁTICA MRE BRASIL-CHINA
# Total de Notas Analisadas;2040
# Total de Notas Selecionadas (Relevantes);45
# Total de Notas Descartadas (Superficiais/Irrelevantes);1995

ID;Título;Data;Status de Seleção;Temática Central;Justificativa do Descarte;Revisão Necessária;Detalhes da Revisão
214;Declaração de Brasília por ocasião da XXIII Conferência Sul-Americana sobre Migrações;19/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
215;Abertura de mercado para o Brasil na Armênia, em Belarus, no Cazaquistão e no Quirguistão: nota conjunta MRE/MAPA;18/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
216;Dia Internacional do Migrante;18/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
217;Assinatura de Memorandos de Entendimento com Singapura e com a Suíça para o Estabelecimento de Parcerias para Ação Climática;17/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
218;Sétima Sessão do Grupo de Trabalho sobre o Fortalecimento da Convenção para a Proibição das Armas Biológicas e Toxínicas (CPAB);17/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
219;Apelo à cessação das hostilidades entre Tailândia e Camboja;17/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
220;Aberturas de mercado nos Emirados Árabes Unidos, em Gana e no Peru - nota conjunta MRE/MAPA;16/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
221;Enchentes na Bolívia;16/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
222;Ataque à Força Interina das Nações Unidas para Abyei (UNISFA);16/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
223;Aberturas de mercado para o Brasil na União Econômica Euroasiática, no Japão e na Nicarágua - Nota Conjunta MRE/MAPA;15/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
224;Atentado na Austrália;14/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
225;Ataque a estudantes no campus da Universidade de Brown, Estados Unidos;14/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
226;Reforma tarifária aprovada pelo congresso mexicano: nota conjunta MRE/MDIC;12/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
227;Concessão de agrément ao Embaixador designado do Brasil na Albânia;12/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
228;Concessão de agrément ao Embaixador designado do Brasil na Austrália;12/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
229;Dia Internacional dos Direitos Humanos;10/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
230;500 aberturas de mercados agrícolas;10/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
231;Negociações intergovernamentais Brasil-Alemanha de cooperação para o desenvolvimento sustentável;09/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
232;60 anos do Programa de Estudantes-Convênio (PEC-G);09/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
233;Assinatura de Protocolo de Intenções entre o Instituto Guimarães Rosa e a Fundação Biblioteca Nacional;08/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
234;Incursão de forças de segurança israelenses em instalações da UNRWA em Jerusalém Oriental;08/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
235;Tentativa de Golpe de Estado no Benim;08/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
236;I Seminário sobre Cooperação Técnica ZOPACAS;08/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
237;Participação do Brasil no 9º Congresso Pan-Africano – Lomé, 8 a 12 de dezembro de 2025;06/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
238;Assinatura de Acordo de Paz entre Ruanda e República Democrática do Congo;06/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
239;Inclusão de Araguaína (TO) e Passo Fundo (RS) na Rede de Cidades de Aprendizagem da UNESCO;05/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
240;Avanço na conservação internacional do pau-brasil — Nota Conjunta MRE/MMA/MinC;05/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
241;Inscrição de sítios brasileiros na Lista de Proteção Reforçada da Convenção para a Proteção de Bens Culturais em Situação de Conflito Armado;04/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
242;Abertura de mercado para o Brasil na Índia e na Rússia - Nota Conjunta MRE/MAPA;03/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
243;Inundações na Indonésia;01/12/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
244;Passagem do Ciclone Ditwah pelo Sri Lanka;29/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
245;Eleição de candidata brasileira à Presidência do Programa Hidrológico Intergovernamental da UNESCO;28/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
246;Reeleição do Brasil para o Conselho da Organização Marítima Internacional;28/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
247;Aberturas de mercado para o Brasil nas Filipinas, Guatemala e Nicarágua - Nota Conjunta MRE/MAPA;28/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
248;Golpe de Estado na Guiné-Bissau;26/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
249;I Diálogo Digital Brasil-Índia - Brasília, 26 de novembro de 2025;26/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
250;Inundações no Sudeste Asiático;26/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
251;Incêndio em conjunto habitacional em Hong Kong;26/11/2025;Descartada;N/A;Nota protocolar de pesar por incêndio em Hong Kong, sem agenda diplomática bilateral.;Não;
252;COP30 conclama mutirão global contra a mudança do clima;25/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
253;Reunião do Comitê Permanente de Política Nuclear Brasil-Argentina (CPPN);25/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
254;Eleição do novo presidente e da nova vice-presidente da Corte Interamericana de Direitos Humanos;25/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
255;Adesão ao Painel de Alto Nível para uma Economia Sustentável do Oceano;25/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
256;Ratificação do Acordo BBNJ pelo Brasil;25/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
257;Concessão de agrément ao Embaixador designado do Brasil na República Popular Democrática da Coreia;24/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
258;Atos adotados por ocasião da visita do Presidente Luiz Inácio Lula da Silva a Maputo - Moçambique, 23 a 24 de novembro de 2025;24/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
259;Comunicado Conjunto por ocasião da visita do Presidente Luiz Inácio Lula da Silva a Maputo - Moçambique, 23 a 24 de novembro de 2025;24/11/2025;Descartada;N/A;"Comunicado sobre visita de Lula a Moçambique; menção genérica a terceiros parceiros ou fóruns multilaterais.";Não;
260;Visita ao Brasil do Fórum Permanente sobre Afrodescendentes;24/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
261;Retirada de tarifas sobre produtos brasileiros importados pelos EUA;20/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
262;Lançamento da iniciativa “Parcerias entre Países Amazônicos: Transformação dos Sistemas Alimentares e Ação Climática”;20/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
263;Seleção de projeto brasileiro ao Prêmio UNESCO em Educação para o Desenvolvimento Sustentável;20/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
264;Retomada do “pre-listing” na União Europeia para carnes de aves e ovos do Brasil;19/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
265;Visita do Senhor Presidente da República a Moçambique (Maputo, 23-24/11/2025);19/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
266;Falecimento do Embaixador Sergio Luiz Canaes;19/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
267;Aberturas de mercado para o Brasil na Malásia e na República da Coreia - Nota Conjunta MRE/MAPA;18/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
268;Visita oficial do Secretário-Geral da OEA ao Brasil;18/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
269;Comunicado Conjunto dos Chanceleres do Brasil e do Paraguai, Mauro Vieira e Rubén Ramírez Lezcano;17/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
270;Cinquentenário das relações diplomáticas entre Brasil e Moçambique;15/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
271;Dia Internacional do Combate ao Crime Organizado Transnacional - Nota Conjunta MRE/MJSP;14/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
272;Acidente com ônibus em Arequipa, Peru;14/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
273;Acordo sobre Assistência Mútua Administrativa em Matéria Aduaneira entre Brasil e Azerbaijão - Nota Conjunta MRE/MF/RFB;13/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
274;Falecimento do Professor Amado Luiz Cervo;13/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
275;Atentado a bomba em Islamabade, Paquistão;12/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
276;Queda de aeronave das Forças Armadas da Turquia;12/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
277;Suspensão dos efeitos da denúncia do Entendimento Automotivo Bilateral Brasil-Colômbia - Comunicado Conjunto MRE/MDIC;12/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
278;Assinatura de Memorando de Entendimento entre Brasil e Reino Unido para Fortalecer o Enfrentamento ao Tráfico de Pessoas e ao Contrabando de Migrantes;11/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
279;Explosão de carro em Nova Delhi;10/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
280;Aberturas de mercado para o Brasil nos Emirados Árabes Unidos e no Líbano - Nota Conjunta MRE/MAPA;10/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
281;Lançamento do Fórum Integrado de Comércio e Mudança do Clima - IFCCT;10/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
282;Falecimento da Embaixadora Maria Stela Pompeu Brasil Frota;10/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
283;Chamado de Belém pelo Clima;07/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
284;Passagem do tufão Kalmaegi pelo Vietnã;07/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
285;XIII Diálogo de Alto Nível sobre Direitos Humanos entre o Brasil e a União Europeia - Declaração Conjunta;07/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
286;Declaração de Belém sobre o Combate ao Racismo Ambiental;07/11/2025;Descartada;N/A;"Declaração de Belém sobre Racismo Ambiental; menção genérica a participantes em conferência multilateral.";Não;
287;Declaração sobre a Coalizão Aberta de Mercados Regulados de Carbono;07/11/2025;Descartada;N/A;Declaração multilateral sobre mercados regulados de carbono sem centralidade diplomática Brasil-China.;Não;
288;Declaração de Belém sobre Fome, Pobreza e Ação Climática Centrada nas Pessoas. Belém, 7 de novembro de 2025;07/11/2025;Descartada;N/A;"Declaração de Belém sobre fome e clima; menção protocolar em fórum da COP30.";Não;
289;Compromisso de Belém pelos Combustíveis Sustentáveis - Belém 4X;07/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
290;Retirada da suspensão à exportação de carne de aves brasileira pela China - Nota Conjunta MRE/MAPA;07/11/2025;Selecionada;Comércio Exterior e Sanidade Agropecuária (Carne de Aves);N/A;Não;
291;Aberturas de mercado para o Brasil no Líbano e na Tanzânia - Nota Conjunta MRE/MAPA;07/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
292;Chamado à Ação sobre Manejo Integrado do Fogo e Resiliência a Incêndios Florestais;06/11/2025;Descartada;N/A;"Chamado multilateral sobre manejo de fogo na COP30; menção em lista de signatários.";Não;
293;Declaração sobre o Fundo Florestas Tropicais para Sempre (TFFF). Belém, 6 de novembro de 2025;06/11/2025;Descartada;N/A;"Declaração do Fundo Florestas Tropicais para Sempre (TFFF); China figura apenas na lista de países participantes/apoiadores.";Não;
294;Passagem do tufão Tino/Kalmaegi pelas Filipinas;06/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
295;Seleção de brasileiro ao Prêmio da UNESCO para Pesquisa Científica sobre Ética na Inteligência Artificial;06/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
296;IV Rodada Negociadora MERCOSUL-Emirados Árabes Unidos - Nota Conjunta MRE/MDIC/MAPA;05/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
297;Lançamento da “Coalizão pela ação multilateral contra os crimes ambientais”;04/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
298;Concessão de agrément ao Embaixador designado do Brasil no Quênia, na Somália e em Uganda;03/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
299;Primeira Reunião de Líderes da Aliança Global contra a Fome e a Pobreza – Doha, 3 de novembro de 2025;03/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
300;Incêndio em estabelecimento comercial no México;02/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
301;Ataque das Forças de Apoio Rápido (RSF) contra a população civil em El-Fasher, Sudão;01/11/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
302;Escolha de São Paulo (SP) para integrar a Rede de Cidades Criativas da UNESCO;31/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
303;Abertura de mercado para o Brasil na Colômbia - Nota Conjunta MRE/MAPA;31/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
304;Reconhecimento da Erva-mate sombreada como Patrimônio Agrícola Mundial pela FAO;31/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
305;Passagem do Furacão Melissa pelo Caribe;29/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
306;Abertura de mercados para o Brasil na Malásia e em Burkina Faso - Nota Conjunta MRE/MAPA;29/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
307;Comunicado conjunto entre a Malásia e o Brasil por ocasião da visita oficial do Presidente da República a Kuala Lumpur;25/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
308;Falecimento da Rainha Sirikit da Tailândia;25/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
309;Participação do Senhor Presidente da República na 47ª Cúpula da Associação de Nações do Sudeste Asiático (ASEAN) e na 20ª Cúpula do Leste da Ásia;25/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
310;Assinatura da Convenção das Nações Unidas contra o Crime Cibernético - Nota Conjunta MRE/MJSP;25/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
311;Atos celebrados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Kuala Lumpur - Malásia, 24 a 28 de outubro de 2025;25/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
312;80 anos da Organização das Nações Unidas;24/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
313;Opinião consultiva da Corte Internacional de Justiça sobre as obrigações de Israel em relação à ONU e a outros atores no território palestino ocupado;24/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
314;Visita do Senhor Presidente da República à Malásia - 25/10/2025;24/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
315;Falecimento do Embaixador Luiz Eduardo de Aguiar Villarinho Pedroso;23/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
316;Falecimento do ex-Primeiro-Ministro português Francisco Balsemão;23/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
317;Declaração de Belém sobre Fome, Pobreza e  Ação Climática Centrada nas Pessoas;23/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
318;Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva a Jacarta - Indonésia, 22 a 24 de outubro de 2025;23/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
319;Comunicado Conjunto - Progresso da Parceria Estratégica Brasil–Indonésia;23/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
320;Visita do Senhor Presidente da República à Indonésia (23-24/10);22/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
321;Cessar-fogo entre Paquistão e Afeganistão;22/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
322;Concessão de agrément ao Embaixador designado do Brasil no Sri Lanka e nas Maldivas;21/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
323;Abertura de novos mercados para o Brasil no Japão, em Singapura, na Coreia do Sul, no Egito e na Índia - Nota Conjunta MRE/MAPA;21/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
324;Adesão do Brasil à Convenção Multilateral da OCDE para prevenir a erosão da base tributária e a transferência de lucros - Nota Conjunta MRE/MF;20/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
325;Adesão ao Tratado de Budapeste sobre o Reconhecimento Internacional do Depósito de Microrganismo para Fins de Patentes - Nota Conjunta MRE/MDIC;20/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
326;Visita à Índia do Vice-Presidente da República e Ministro do Desenvolvimento, Indústria, Comércio e Serviços, Geraldo Alckmin — 15 a 17 de outubro;17/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
327;Abertura de novos mercados para o Brasil nos Estados Unidos, no Irã, em Santa Lúcia e no Uruguai - Nota Conjunta MRE/MAPA;17/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
328;Declaração Conjunta do Ministro das Relações Exteriores do Brasil, do Secretário de Estado dos EUA e do Representante de Comércio dos EUA;16/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
329;Declaração Conjunta Brasil-Índia sobre o Aprofundamento do Acordo de Comércio MERCOSUL– Índia;16/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
330;Negociações para ampliar o Acordo MERCOSUL- Índia - Nota conjunta MRE/MDIC;16/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
331;Falecimento do ex-primeiro-ministro do Quênia, Raila Amolo Odinga;15/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
332;Premiação da FAO para iniciativas brasileiras em sustentabilidade e segurança alimentar;15/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
333;Recomendação de designação da embaixadora Sabrina Dallafior Matter  como Diretora-Geral da Organização para a Proibição de Armas Químicas (OPAQ);15/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
334;Concessão de agrément à Embaixadora designada da Bulgária no Brasil;14/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
335;Abertura da exposição fotográfica “80 Anos da ONU: Construindo o Nosso Futuro Juntos”;14/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
336;"Lançamento do Compromisso de Belém pelos Combustíveis Sustentáveis – ""Belém 4x""";14/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
337;Concessão do New York Emmy Awards ao cineasta brasileiro Victor Dias Rodrigues;14/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
338;Participação do Presidente Lula no Fórum Mundial de Alimentação e na reunião do Conselho de Campeões da Aliança Global contra a Fome e a Pobreza;13/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
339;Chuvas no México;13/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
340;Retomada das negociações do Acordo de Livre Comércio entre o MERCOSUL e o Canadá;10/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
341;Memorando de Entendimento entre o Instituto Guimarães Rosa (IGR) e o British Council;09/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
342;Seleção de projeto brasileiro ao Prêmio UNESCO para o Uso de Tecnologias da Informação e da Comunicação na Educação;09/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
343;Anúncio de acordo sobre primeira fase de plano para pôr fim ao conflito na Faixa de Gaza;09/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
344;Abertura de mercado para sementes de beterraba do Brasil para a Nicarágua - Nota conjunta MRE/MAPA;09/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
345;Telefonema entre o Ministro Mauro Vieira e o Secretário de Estado Marco Rubio;09/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
346;Aprovação de resolução no Conselho de Direitos Humanos sobre combate ao racismo nos esportes;08/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
347;Retorno dos brasileiros que integravam a flotilha Global Sumud;08/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
348;Ataque contra comboio do presidente do Equador Daniel Noboa;08/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
349;Libertação dos brasileiros da flotilha Global Sumud;07/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
350;Eleição do novo diretor-geral da UNESCO, Khaled El-Enany;06/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
351;Plano anunciado pelos Estados Unidos para a Faixa de Gaza;04/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
352;Concessão de agrément ao Embaixador designado de Cuba no Brasil;02/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
353;Ataques a sinagoga em Manchester, Reino Unido;02/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
354;Interceptação de embarcações da “Flotilha Global Sumud” por Israel e detenção arbitrária de cidadãos brasileiros;02/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
355;Abertura de mercado para exportação de castanha-do-Brasil para a Costa Rica - Nota conjunta MRE/MAPA;02/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
356;Interceptação de embarcações da “Flotilha Global Sumud” por Israel;01/10/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
357;Passagem do tufão Bualoi pelo Vietnã;30/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
358;Concessão de agrément ao Embaixador designado do México no Brasil;30/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
359;Concessão de agrément ao Embaixador designado das Filipinas no Brasil;29/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
360;Reeleição do Brasil para o Conselho da Organização da Aviação Civil Internacional (OACI);28/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
361;13º Encontro da Comissão Ministerial Trilateral do IBAS - Comunicado Conjunto;26/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
362;Encontro dos Ministros das Relações Exteriores do BRICS à margem da 80ª Sessão da Assembleia Geral das Nações Unidas - Nota Conjunta BRICS;26/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
363;Passagem do supertufão Ragasa pela Ásia;25/09/2025;Descartada;N/A;Nota de solidariedade e assistência consular relativa à passagem de tufão pela Ásia (Filipinas e China).;Não;
364;Abertura de mercado para produtos cárneos do Brasil para o Azerbaijão - Nota Conjunta MRE/MAPA;25/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
365;Reunião Ministerial em apoio à UNRWA;25/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
366;Concessão de agrément ao Embaixador designado do Brasil no Nepal;25/09/2025;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
